LECROYWR104Xi-A,26993,Waveform
Segments,1,SegmentSize,100002
Segment,TrigTime,TimeSinceSegment1
#1,13-Jul-2015 13:28:13,0                 
Time,Ampl
5.234e-006,-0.000113165
5.2342e-006,-0.000111924
5.2344e-006,-0.000117135
5.2346e-006,-0.000119369
5.2348e-006,-0.000119369
5.235e-006,-0.000120362
5.2352e-006,-0.000124581
5.2354e-006,-0.000130537
5.2356e-006,-0.000131033
5.2358e-006,-0.000129792
5.236e-006,-0.000138478
5.2362e-006,-0.000151135
5.2364e-006,-0.000153864
5.2366e-006,-0.000148405
5.2368e-006,-0.000140711
5.237e-006,-0.000136244
5.2372e-006,-0.000134507
5.2374e-006,-0.000131281
5.2376e-006,-0.000126566
5.2378e-006,-0.000123092
5.238e-006,-0.000122843
5.2382e-006,-0.000129792
5.2384e-006,-0.000140215
5.2386e-006,-0.00014493
5.2388e-006,-0.000145675
5.239e-006,-0.000147908
5.2392e-006,-0.000149397
5.2394e-006,-0.000151383
5.2396e-006,-0.000156594
5.2398e-006,-0.000157339
5.24e-006,-0.000152127
5.2402e-006,-0.000148901
5.2404e-006,-0.000151383
5.2406e-006,-0.000157091
5.2408e-006,-0.000160565
5.241e-006,-0.000157339
5.2412e-006,-0.000150142
5.2414e-006,-0.000145427
5.2416e-006,-0.000146916
5.2418e-006,-0.000154609
5.242e-006,-0.000159572
5.2422e-006,-0.000154857
5.2424e-006,-0.000151383
5.2426e-006,-0.000154361
5.2428e-006,-0.000155353
5.243e-006,-0.000154361
5.2432e-006,-0.000158331
5.2434e-006,-0.000160069
5.2436e-006,-0.000151135
5.2438e-006,-0.000139471
5.244e-006,-0.000134259
5.2442e-006,-0.000134507
5.2444e-006,-0.000135748
5.2446e-006,-0.000135252
5.2448e-006,-0.000134259
5.245e-006,-0.000133763
5.2452e-006,-0.000133763
5.2454e-006,-0.000136244
5.2456e-006,-0.000135996
5.2458e-006,-0.000127062
5.246e-006,-0.000119121
5.2462e-006,-0.00012061
5.2464e-006,-0.000120114
5.2466e-006,-0.000115398
5.2468e-006,-0.000115646
5.247e-006,-0.000117384
5.2472e-006,-0.000113661
5.2474e-006,-0.000107953
5.2476e-006,-0.000102742
5.2478e-006,-9.75302e-005
5.248e-006,-9.4304e-005
5.2482e-006,-9.33113e-005
5.2484e-006,-9.50485e-005
5.2486e-006,-9.75302e-005
5.2488e-006,-9.62893e-005
5.249e-006,-9.4304e-005
5.2492e-006,-9.40558e-005
5.2494e-006,-8.80998e-005
5.2496e-006,-7.91657e-005
5.2498e-006,-7.54432e-005
5.25e-006,-7.44505e-005
5.2502e-006,-7.39542e-005
5.2504e-006,-7.71804e-005
5.2506e-006,-7.96621e-005
5.2508e-006,-8.01584e-005
5.251e-006,-8.61144e-005
5.2512e-006,-9.4304e-005
5.2514e-006,-9.75302e-005
5.2516e-006,-9.8771e-005
5.2518e-006,-9.95155e-005
5.252e-006,-9.65375e-005
5.2522e-006,-9.08296e-005
5.2524e-006,-8.46254e-005
5.2526e-006,-7.86694e-005
5.2528e-006,-7.71804e-005
5.253e-006,-8.31364e-005
5.2532e-006,-9.33113e-005
5.2534e-006,-9.7282e-005
5.2536e-006,-8.85961e-005
5.2538e-006,-8.04066e-005
5.254e-006,-8.31364e-005
5.2542e-006,-8.71071e-005
5.2544e-006,-8.23919e-005
5.2546e-006,-7.34579e-005
5.2548e-006,-6.79982e-005
5.255e-006,-6.99835e-005
5.2552e-006,-7.64359e-005
5.2554e-006,-8.04066e-005
5.2556e-006,-8.09029e-005
5.2558e-006,-8.33846e-005
5.256e-006,-8.66108e-005
5.2562e-006,-8.73553e-005
5.2564e-006,-8.71071e-005
5.2566e-006,-8.8348e-005
5.2568e-006,-9.25668e-005
5.257e-006,-9.82747e-005
5.2572e-006,-0.00010299
5.2574e-006,-0.000107457
5.2576e-006,-0.000112668
5.2578e-006,-0.000114157
